local,tempo,trat,rep,num
-1,1,NT,1,6
-1,1,NT,2,6
-1,1,NT,3,6
-1,1,NT,4,7
-1,1,NT,5,13
-1,1,E,1,2
-1,1,E,2,9
-1,1,E,3,7
-1,1,E,4,8
-1,1,E,5,4
-1,1,G,1,1
-1,1,G,2,10
-1,1,G,3,11
-1,1,G,4,5
-1,1,G,5,8
-1,1,C,1,4
-1,1,C,2,7
-1,1,C,3,8
-1,1,C,4,8
-1,1,C,5,10
-1,1,T,1,8
-1,1,T,2,17
-1,1,T,3,9
-1,1,T,4,6
-1,1,T,5,2
-1,16,NT,1,5
-1,16,NT,2,9
-1,16,NT,3,11
-1,16,NT,4,3
-1,16,NT,5,2
-1,16,E,1,1
-1,16,E,2,11
-1,16,E,3,4
-1,16,E,4,4
-1,16,E,5,1
-1,16,G,1,0
-1,16,G,2,1
-1,16,G,3,2
-1,16,G,4,11
-1,16,G,5,15
-1,16,C,1,4
-1,16,C,2,14
-1,16,C,3,11
-1,16,C,4,19
-1,16,C,5,16
-1,16,T,1,2
-1,16,T,2,14
-1,16,T,3,5
-1,16,T,4,14
-1,16,T,5,8
-1,21,NT,1,7
-1,21,NT,2,7
-1,21,NT,3,10
-1,21,NT,4,11
-1,21,NT,5,5
-1,21,E,1,1
-1,21,E,2,8
-1,21,E,3,9
-1,21,E,4,15
-1,21,E,5,8
-1,21,G,1,2
-1,21,G,2,2
-1,21,G,3,1
-1,21,G,4,9
-1,21,G,5,14
-1,21,C,1,4
-1,21,C,2,6
-1,21,C,3,14
-1,21,C,4,18
-1,21,C,5,10
-1,21,T,1,0
-1,21,T,2,14
-1,21,T,3,5
-1,21,T,4,18
-1,21,T,5,13
-1,24,NT,1,5
-1,24,NT,2,5
-1,24,NT,3,10
-1,24,NT,4,5
-1,24,NT,5,7
-1,24,E,1,0
-1,24,E,2,8
-1,24,E,3,10
-1,24,E,4,4
-1,24,E,5,7
-1,24,G,1,18
-1,24,G,2,0
-1,24,G,3,16
-1,24,G,4,11
-1,24,G,5,18
-1,24,C,1,3
-1,24,C,2,13
-1,24,C,3,13
-1,24,C,4,17
-1,24,C,5,12
-1,24,T,1,0
-1,24,T,2,13
-1,24,T,3,6
-1,24,T,4,19
-1,24,T,5,17
-1,36,NT,1,5
-1,36,NT,2,8
-1,36,NT,3,0
-1,36,NT,4,14
-1,36,NT,5,5
-1,36,E,1,2
-1,36,E,2,8
-1,36,E,3,8
-1,36,E,4,4
-1,36,E,5,2
-1,36,G,1,0
-1,36,G,2,0
-1,36,G,3,13
-1,36,G,4,10
-1,36,G,5,17
-1,36,C,1,6
-1,36,C,2,12
-1,36,C,3,17
-1,36,C,4,17
-1,36,C,5,15
-1,36,T,1,1
-1,36,T,2,17
-1,36,T,3,12
-1,36,T,4,18
-1,36,T,5,16
-1,44,NT,1,7
-1,44,NT,2,4
-1,44,NT,3,7
-1,44,NT,4,7
-1,44,NT,5,12
-1,44,E,1,2
-1,44,E,2,9
-1,44,E,3,9
-1,44,E,4,5
-1,44,E,5,17
-1,44,G,1,17
-1,44,G,2,0
-1,44,G,3,1
-1,44,G,4,6
-1,44,G,5,16
-1,44,C,1,5
-1,44,C,2,12
-1,44,C,3,16
-1,44,C,4,18
-1,44,C,5,15
-1,44,T,1,1
-1,44,T,2,16
-1,44,T,3,8
-1,44,T,4,19
-1,44,T,5,16
"-0,5",1,NT,1,4
"-0,5",1,NT,2,1
"-0,5",1,NT,3,0
"-0,5",1,NT,4,2
"-0,5",1,NT,5,0
"-0,5",1,E,1,0
"-0,5",1,E,2,0
"-0,5",1,E,3,2
"-0,5",1,E,4,0
"-0,5",1,E,5,0
"-0,5",1,G,1,0
"-0,5",1,G,2,0
"-0,5",1,G,3,0
"-0,5",1,G,4,0
"-0,5",1,G,5,0
"-0,5",1,C,1,0
"-0,5",1,C,2,0
"-0,5",1,C,3,1
"-0,5",1,C,4,0
"-0,5",1,C,5,0
"-0,5",1,T,1,1
"-0,5",1,T,2,0
"-0,5",1,T,3,0
"-0,5",1,T,4,0
"-0,5",1,T,5,2
"-0,5",16,NT,1,0
"-0,5",16,NT,2,0
"-0,5",16,NT,3,0
"-0,5",16,NT,4,14
"-0,5",16,NT,5,0
"-0,5",16,E,1,0
"-0,5",16,E,2,1
"-0,5",16,E,3,0
"-0,5",16,E,4,0
"-0,5",16,E,5,13
"-0,5",16,G,1,2
"-0,5",16,G,2,0
"-0,5",16,G,3,0
"-0,5",16,G,4,0
"-0,5",16,G,5,0
"-0,5",16,C,1,1
"-0,5",16,C,2,0
"-0,5",16,C,3,0
"-0,5",16,C,4,0
"-0,5",16,C,5,0
"-0,5",16,T,1,0
"-0,5",16,T,2,0
"-0,5",16,T,3,0
"-0,5",16,T,4,1
"-0,5",16,T,5,0
"-0,5",21,NT,1,1
"-0,5",21,NT,2,0
"-0,5",21,NT,3,0
"-0,5",21,NT,4,0
"-0,5",21,NT,5,0
"-0,5",21,E,1,0
"-0,5",21,E,2,0
"-0,5",21,E,3,0
"-0,5",21,E,4,0
"-0,5",21,E,5,2
"-0,5",21,G,1,0
"-0,5",21,G,2,0
"-0,5",21,G,3,0
"-0,5",21,G,4,0
"-0,5",21,G,5,0
"-0,5",21,C,1,0
"-0,5",21,C,2,0
"-0,5",21,C,3,0
"-0,5",21,C,4,0
"-0,5",21,C,5,0
"-0,5",21,T,1,0
"-0,5",21,T,2,0
"-0,5",21,T,3,0
"-0,5",21,T,4,1
"-0,5",21,T,5,1
"-0,5",24,NT,1,0
"-0,5",24,NT,2,0
"-0,5",24,NT,3,1
"-0,5",24,NT,4,6
"-0,5",24,NT,5,0
"-0,5",24,E,1,0
"-0,5",24,E,2,1
"-0,5",24,E,3,0
"-0,5",24,E,4,0
"-0,5",24,E,5,4
"-0,5",24,G,1,0
"-0,5",24,G,2,0
"-0,5",24,G,3,0
"-0,5",24,G,4,0
"-0,5",24,G,5,0
"-0,5",24,C,1,0
"-0,5",24,C,2,0
"-0,5",24,C,3,0
"-0,5",24,C,4,1
"-0,5",24,C,5,1
"-0,5",24,T,1,0
"-0,5",24,T,2,0
"-0,5",24,T,3,1
"-0,5",24,T,4,0
"-0,5",24,T,5,0
"-0,5",36,NT,1,0
"-0,5",36,NT,2,0
"-0,5",36,NT,3,4
"-0,5",36,NT,4,0
"-0,5",36,NT,5,0
"-0,5",36,E,1,1
"-0,5",36,E,2,3
"-0,5",36,E,3,0
"-0,5",36,E,4,0
"-0,5",36,E,5,0
"-0,5",36,G,1,0
"-0,5",36,G,2,0
"-0,5",36,G,3,0
"-0,5",36,G,4,0
"-0,5",36,G,5,0
"-0,5",36,C,1,0
"-0,5",36,C,2,0
"-0,5",36,C,3,0
"-0,5",36,C,4,0
"-0,5",36,C,5,0
"-0,5",36,T,1,0
"-0,5",36,T,2,0
"-0,5",36,T,3,0
"-0,5",36,T,4,1
"-0,5",36,T,5,1
"-0,5",44,NT,1,0
"-0,5",44,NT,2,0
"-0,5",44,NT,3,0
"-0,5",44,NT,4,0
"-0,5",44,NT,5,0
"-0,5",44,E,1,0
"-0,5",44,E,2,2
"-0,5",44,E,3,0
"-0,5",44,E,4,0
"-0,5",44,E,5,0
"-0,5",44,G,1,0
"-0,5",44,G,2,0
"-0,5",44,G,3,0
"-0,5",44,G,4,0
"-0,5",44,G,5,0
"-0,5",44,C,1,0
"-0,5",44,C,2,0
"-0,5",44,C,3,0
"-0,5",44,C,4,0
"-0,5",44,C,5,0
"-0,5",44,T,1,0
"-0,5",44,T,2,0
"-0,5",44,T,3,0
"-0,5",44,T,4,0
"-0,5",44,T,5,2
0,1,NT,1,0
0,1,NT,2,1
0,1,NT,3,4
0,1,NT,4,1
0,1,NT,5,2
0,1,E,1,2
0,1,E,2,3
0,1,E,3,5
0,1,E,4,1
0,1,E,5,3
0,1,G,1,19
0,1,G,2,1
0,1,G,3,3
0,1,G,4,1
0,1,G,5,3
0,1,C,1,2
0,1,C,2,2
0,1,C,3,2
0,1,C,4,3
0,1,C,5,2
0,1,T,1,4
0,1,T,2,0
0,1,T,3,6
0,1,T,4,6
0,1,T,5,6
0,16,NT,1,1
0,16,NT,2,0
0,16,NT,3,2
0,16,NT,4,1
0,16,NT,5,5
0,16,E,1,1
0,16,E,2,0
0,16,E,3,1
0,16,E,4,0
0,16,E,5,2
0,16,G,1,18
0,16,G,2,0
0,16,G,3,2
0,16,G,4,0
0,16,G,5,2
0,16,C,1,0
0,16,C,2,0
0,16,C,3,0
0,16,C,4,1
0,16,C,5,1
0,16,T,1,2
0,16,T,2,1
0,16,T,3,2
0,16,T,4,0
0,16,T,5,1
0,21,NT,1,0
0,21,NT,2,0
0,21,NT,3,4
0,21,NT,4,2
0,21,NT,5,1
0,21,E,1,1
0,21,E,2,3
0,21,E,3,2
0,21,E,4,0
0,21,E,5,2
0,21,G,1,18
0,21,G,2,0
0,21,G,3,3
0,21,G,4,2
0,21,G,5,0
0,21,C,1,0
0,21,C,2,3
0,21,C,3,0
0,21,C,4,2
0,21,C,5,2
0,21,T,1,2
0,21,T,2,1
0,21,T,3,0
0,21,T,4,1
0,21,T,5,1
0,24,NT,1,1
0,24,NT,2,0
0,24,NT,3,3
0,24,NT,4,0
0,24,NT,5,3
0,24,E,1,3
0,24,E,2,4
0,24,E,3,3
0,24,E,4,0
0,24,E,5,1
0,24,G,1,0
0,24,G,2,0
0,24,G,3,3
0,24,G,4,0
0,24,G,5,0
0,24,C,1,1
0,24,C,2,1
0,24,C,3,0
0,24,C,4,1
0,24,C,5,2
0,24,T,1,2
0,24,T,2,2
0,24,T,3,3
0,24,T,4,1
0,24,T,5,3
0,36,NT,1,0
0,36,NT,2,4
0,36,NT,3,2
0,36,NT,4,1
0,36,NT,5,0
0,36,E,1,1
0,36,E,2,0
0,36,E,3,2
0,36,E,4,0
0,36,E,5,2
0,36,G,1,17
0,36,G,2,0
0,36,G,3,3
0,36,G,4,0
0,36,G,5,2
0,36,C,1,0
0,36,C,2,3
0,36,C,3,0
0,36,C,4,3
0,36,C,5,1
0,36,T,1,1
0,36,T,2,1
0,36,T,3,2
0,36,T,4,1
0,36,T,5,2
0,44,NT,1,0
0,44,NT,2,0
0,44,NT,3,3
0,44,NT,4,0
0,44,NT,5,1
0,44,E,1,2
0,44,E,2,3
0,44,E,3,1
0,44,E,4,2
0,44,E,5,1
0,44,G,1,3
0,44,G,2,0
0,44,G,3,3
0,44,G,4,0
0,44,G,5,0
0,44,C,1,0
0,44,C,2,1
0,44,C,3,0
0,44,C,4,2
0,44,C,5,0
0,44,T,1,1
0,44,T,2,1
0,44,T,3,3
0,44,T,4,0
0,44,T,5,1
"0,5",1,NT,1,0
"0,5",1,NT,2,0
"0,5",1,NT,3,1
"0,5",1,NT,4,2
"0,5",1,NT,5,0
"0,5",1,E,1,0
"0,5",1,E,2,0
"0,5",1,E,3,0
"0,5",1,E,4,1
"0,5",1,E,5,1
"0,5",1,G,1,0
"0,5",1,G,2,0
"0,5",1,G,3,0
"0,5",1,G,4,0
"0,5",1,G,5,1
"0,5",1,C,1,2
"0,5",1,C,2,0
"0,5",1,C,3,0
"0,5",1,C,4,0
"0,5",1,C,5,0
"0,5",1,T,1,0
"0,5",1,T,2,0
"0,5",1,T,3,0
"0,5",1,T,4,0
"0,5",1,T,5,1
"0,5",16,NT,1,7
"0,5",16,NT,2,0
"0,5",16,NT,3,0
"0,5",16,NT,4,0
"0,5",16,NT,5,0
"0,5",16,E,1,2
"0,5",16,E,2,0
"0,5",16,E,3,0
"0,5",16,E,4,0
"0,5",16,E,5,0
"0,5",16,G,1,0
"0,5",16,G,2,0
"0,5",16,G,3,0
"0,5",16,G,4,0
"0,5",16,G,5,0
"0,5",16,C,1,2
"0,5",16,C,2,2
"0,5",16,C,3,7
"0,5",16,C,4,0
"0,5",16,C,5,0
"0,5",16,T,1,0
"0,5",16,T,2,0
"0,5",16,T,3,0
"0,5",16,T,4,0
"0,5",16,T,5,0
"0,5",21,NT,1,0
"0,5",21,NT,2,0
"0,5",21,NT,3,0
"0,5",21,NT,4,3
"0,5",21,NT,5,0
"0,5",21,E,1,0
"0,5",21,E,2,1
"0,5",21,E,3,0
"0,5",21,E,4,0
"0,5",21,E,5,0
"0,5",21,G,1,0
"0,5",21,G,2,0
"0,5",21,G,3,0
"0,5",21,G,4,0
"0,5",21,G,5,2
"0,5",21,C,1,0
"0,5",21,C,2,0
"0,5",21,C,3,0
"0,5",21,C,4,0
"0,5",21,C,5,4
"0,5",21,T,1,1
"0,5",21,T,2,0
"0,5",21,T,3,0
"0,5",21,T,4,0
"0,5",21,T,5,1
"0,5",24,NT,1,2
"0,5",24,NT,2,5
"0,5",24,NT,3,0
"0,5",24,NT,4,5
"0,5",24,NT,5,0
"0,5",24,E,1,1
"0,5",24,E,2,1
"0,5",24,E,3,0
"0,5",24,E,4,1
"0,5",24,E,5,3
"0,5",24,G,1,0
"0,5",24,G,2,0
"0,5",24,G,3,0
"0,5",24,G,4,0
"0,5",24,G,5,0
"0,5",24,C,1,0
"0,5",24,C,2,2
"0,5",24,C,3,0
"0,5",24,C,4,0
"0,5",24,C,5,1
"0,5",24,T,1,2
"0,5",24,T,2,0
"0,5",24,T,3,0
"0,5",24,T,4,0
"0,5",24,T,5,0
"0,5",36,NT,1,0
"0,5",36,NT,2,0
"0,5",36,NT,3,2
"0,5",36,NT,4,0
"0,5",36,NT,5,0
"0,5",36,E,1,0
"0,5",36,E,2,0
"0,5",36,E,3,0
"0,5",36,E,4,0
"0,5",36,E,5,0
"0,5",36,G,1,0
"0,5",36,G,2,0
"0,5",36,G,3,0
"0,5",36,G,4,0
"0,5",36,G,5,0
"0,5",36,C,1,0
"0,5",36,C,2,0
"0,5",36,C,3,0
"0,5",36,C,4,0
"0,5",36,C,5,1
"0,5",36,T,1,0
"0,5",36,T,2,0
"0,5",36,T,3,0
"0,5",36,T,4,0
"0,5",36,T,5,0
"0,5",44,NT,1,0
"0,5",44,NT,2,0
"0,5",44,NT,3,0
"0,5",44,NT,4,0
"0,5",44,NT,5,0
"0,5",44,E,1,0
"0,5",44,E,2,0
"0,5",44,E,3,0
"0,5",44,E,4,3
"0,5",44,E,5,1
"0,5",44,G,1,0
"0,5",44,G,2,0
"0,5",44,G,3,0
"0,5",44,G,4,0
"0,5",44,G,5,0
"0,5",44,C,1,0
"0,5",44,C,2,0
"0,5",44,C,3,0
"0,5",44,C,4,0
"0,5",44,C,5,1
"0,5",44,T,1,1
"0,5",44,T,2,0
"0,5",44,T,3,0
"0,5",44,T,4,0
"0,5",44,T,5,0
1,1,NT,1,10
1,1,NT,2,12
1,1,NT,3,9
1,1,NT,4,8
1,1,NT,5,5
1,1,E,1,16
1,1,E,2,8
1,1,E,3,6
1,1,E,4,10
1,1,E,5,12
1,1,G,1,0
1,1,G,2,9
1,1,G,3,6
1,1,G,4,14
1,1,G,5,8
1,1,C,1,12
1,1,C,2,11
1,1,C,3,9
1,1,C,4,11
1,1,C,5,8
1,1,T,1,7
1,1,T,2,3
1,1,T,3,5
1,1,T,4,8
1,1,T,5,9
1,16,NT,1,7
1,16,NT,2,11
1,16,NT,3,7
1,16,NT,4,2
1,16,NT,5,13
1,16,E,1,16
1,16,E,2,8
1,16,E,3,15
1,16,E,4,16
1,16,E,5,4
1,16,G,1,0
1,16,G,2,9
1,16,G,3,16
1,16,G,4,9
1,16,G,5,3
1,16,C,1,13
1,16,C,2,4
1,16,C,3,2
1,16,C,4,0
1,16,C,5,3
1,16,T,1,18
1,16,T,2,5
1,16,T,3,13
1,16,T,4,5
1,16,T,5,11
1,21,NT,1,12
1,21,NT,2,13
1,21,NT,3,6
1,21,NT,4,4
1,21,NT,5,14
1,21,E,1,18
1,21,E,2,8
1,21,E,3,9
1,21,E,4,5
1,21,E,5,8
1,21,G,1,0
1,21,G,2,18
1,21,G,3,16
1,21,G,4,9
1,21,G,5,4
1,21,C,1,16
1,21,C,2,11
1,21,C,3,6
1,21,C,4,0
1,21,C,5,4
1,21,T,1,17
1,21,T,2,5
1,21,T,3,15
1,21,T,4,0
1,21,T,5,4
1,24,NT,1,12
1,24,NT,2,10
1,24,NT,3,6
1,24,NT,4,4
1,24,NT,5,10
1,24,E,1,16
1,24,E,2,6
1,24,E,3,7
1,24,E,4,15
1,24,E,5,5
1,24,G,1,2
1,24,G,2,20
1,24,G,3,1
1,24,G,4,9
1,24,G,5,2
1,24,C,1,16
1,24,C,2,4
1,24,C,3,7
1,24,C,4,1
1,24,C,5,4
1,24,T,1,16
1,24,T,2,5
1,24,T,3,10
1,24,T,4,0
1,24,T,5,0
1,36,NT,1,15
1,36,NT,2,8
1,36,NT,3,12
1,36,NT,4,5
1,36,NT,5,15
1,36,E,1,16
1,36,E,2,9
1,36,E,3,10
1,36,E,4,16
1,36,E,5,16
1,36,G,1,3
1,36,G,2,20
1,36,G,3,4
1,36,G,4,10
1,36,G,5,1
1,36,C,1,14
1,36,C,2,5
1,36,C,3,3
1,36,C,4,0
1,36,C,5,3
1,36,T,1,18
1,36,T,2,2
1,36,T,3,6
1,36,T,4,0
1,36,T,5,1
1,44,NT,1,13
1,44,NT,2,16
1,44,NT,3,10
1,44,NT,4,13
1,44,NT,5,7
1,44,E,1,16
1,44,E,2,6
1,44,E,3,10
1,44,E,4,10
1,44,E,5,1
1,44,G,1,0
1,44,G,2,20
1,44,G,3,16
1,44,G,4,14
1,44,G,5,4
1,44,C,1,15
1,44,C,2,7
1,44,C,3,4
1,44,C,4,0
1,44,C,5,4
1,44,T,1,17
1,44,T,2,3
1,44,T,3,9
1,44,T,4,1
1,44,T,5,1